,Key,Count
0,collection_id,184
1,9132fae8-bdfe-480f-9e45-45bc77f320b3,1
2,collection_url,184
3,https://cellxgene.cziscience.com/collections/9132fae8-bdfe-480f-9e45-45bc77f320b3,1
4,collection_version_id,184
5,5b476566-8c0d-4a4e-886f-e51f2f876122,1
6,consortia,184
7,contact_email,184
8,zhuang@chemistry.harvard.edu,2
9,contact_name,184
10,Xiaowei Zhuang,2
11,created_at,184
12,2023-12-12T07:47:32.179962+00:00,1
13,curator_name,184
14,Jennifer Yu-Sheng Chien,95
15,datasets,184
16,description,184
17,"A mammalian brain is comprised of numerous cell types organized in an intricate manner to form functional neural circuits. Single-cell RNA sequencing provides a powerful approach to identify cell types based on their gene expression profiles and has revealed many distinct cell populations in the brain. Single-cell epigenomic profiling further provides information on gene-regulatory signatures of different cell types. Understanding how different cell types contribute to brain function, however, requires knowledge of their spatial organization and connectivity, which is not preserved in sequencing-based methods that involve cell dissociation. Here, we used an in situ single-cell transcriptome-imaging method, multiplexed error-robust fluorescence in situ hybridization (MERFISH), to generate a molecularly defined and spatially resolved cell atlas of the mouse primary motor cortex (MOp). We profiled ∼300,000 cells in the MOp, identified 95 neuronal and non-neuronal cell clusters, and revealed a complex spatial map in which not only excitatory neuronal clusters but also most inhibitory neuronal clusters adopted layered organizations. Notably, intratelencephalic (IT) cells, the largest branch of neurons in the MOp, formed a continuous spectrum of cells with gradual changes in both gene expression profiles and cortical depth positions in a highly correlated manner. Furthermore, we integrated MERFISH with retrograde tracing to probe the projection targets for different MOp neuronal cell types and found that projections of MOp neurons to other cortical regions formed a many-to-many network with each target region receiving input preferentially from a different composition of IT clusters. Overall, our results provide a high-resolution spatial and projection map of molecularly defined cell types in the MOp. We anticipate that the imaging platform described here can be broadly applied to create high-resolution cell atlases of a wide range of systems.",1
18,doi,184
19,10.1101/2020.06.04.105700,1
20,links,184
21,name,184
22,"Molecular, spatial and projection diversity of neurons in primary motor cortex revealed by in situ single-cell transcriptomics",1
23,published_at,184
24,2021-03-08T22:38:07.301347+00:00,1
25,publisher_metadata,184
26,revised_at,184
27,2023-12-13T20:50:57.376086+00:00,1
28,revising_in,184
29,,394
30,revision_of,184
31,visibility,184
32,PUBLIC,184
33,283d65eb-dd53-496d-adb7-7570c7caa443,1
34,https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443,1
35,4c16c611-00a9-42f9-a8c4-7b42daa226fe,1
36,BRAIN Initiative,15
37,CZI Single-Cell Biology,52
38,kimberly.siletti@ki.se,1
39,Kimberly Siletti,1
40,2023-12-12T05:58:52.708904+00:00,1
41,James Chaffer,7
42,"First draft atlas of human brain transcriptomic cell types: The human brain directs a wide range of complex behaviors ranging from fine motor skills to abstract intelligence and emotion.  This broad range of functions is supported by an exceptionally complex cellular and circuit architecture.  To create a first draft human brain cell atlas, high-throughput single-nucleus RNA sequencing was used to systematically survey cells across the entire adult human brain in three postmortem donors. Over three million nuclei were sampled from approximately 100 dissections across the forebrain, midbrain, and hindbrain. Analysis of these data showed regional diversity in that cellular organization exhibited regional diversity at multiple scales, identifying 30 superclusters, 461 clusters and 3313 subclusters.  As the first single-cell transcriptomic census of the entire human brain, this atlas provides a resource for understanding the molecular diversity of the human brain in health and disease. The Human Brain Cell Atlas v1.0 is presented for visualization and data mining through the Chan Zuckerberg Initiative’s CellxGene application, with the following biologically meaningful partitions: 1. Neuronal and non-neuronal cell types 2. Supercluster-specific groupings (”Supercluster: ”) 3.Brain region-specific groupings (”Dissection: “), ordered by the adult human brain anatomical reference atlas ontology in Ding et al. (2016)",1
43,10.1126/science.add7046,1
44,Human Brain Cell Atlas v1.0,1
45,2022-12-09T18:17:51.942387+00:00,1
46,2023-12-13T20:50:47.856776+00:00,1
47,4f889ffc-d4bc-4748-905b-8eb9db47a2ed,1
48,https://cellxgene.cziscience.com/collections/4f889ffc-d4bc-4748-905b-8eb9db47a2ed,1
49,8b59960b-282b-4873-9da2-016e8b1f3759,1
50,kaistcbfg@gmail.com,1
51,Inkyung Jung,1
52,2023-12-11T19:07:29.832581+00:00,1
53,"Although most SARS-CoV-2-infected individuals experience mild coronavirus
disease 2019 (COVID-19), some patients suffer from severe COVID-19, which is
accompanied by acute respiratory distress syndrome and systemic inflammation.
To identify factors driving severe progression of COVID-19, we performed
single-cell RNA-seq using peripheral blood mononuclear cells (PBMCs) obtained
from healthy donors, patients with mild or severe COVID-19, and patients with
severe influenza. Patients with COVID-19 exhibited hyper-inflammatory
signatures across all types of cells among PBMCs, particularly up-regulation of
the TNF/IL-1β-driven inflammatory response as compared to severe influenza. In
classical monocytes from patients with severe COVID-19, type I IFN response
co-existed with the TNF/IL-1β-driven inflammation, and this was not seen in
patients with milder COVID-19. Interestingly, we documented type I IFN-driven
inflammatory features in patients with severe influenza as well. Based on this,
we propose that the type I IFN response plays a pivotal role in exacerbating
inflammation in severe COVID-19.",1
54,10.1126/sciimmunol.abd1554,1
55,Immunophenotyping of COVID-19 and influenza highlights the role of type I interferons in development of severe COVID-19,1
56,2022-01-04T20:52:24.800440+00:00,1
57,2023-12-13T20:50:54.846741+00:00,1
58,10ec9198-584e-4a7e-8a24-4a332915a4ef,1
59,https://cellxgene.cziscience.com/collections/10ec9198-584e-4a7e-8a24-4a332915a4ef,1
60,b00931aa-b963-4669-a349-3898a1f485ff,1
61,Human Tumor Atlas Network (HTAN),4
62,chenc6@email.chop.edu,1
63,Changya Chen,1
64,2023-12-11T18:31:29.138547+00:00,1
